student_id,gender,branch,year,study_hours_per_week,attendance_pct,extracurricular_hours,income_bracket,internet_access,Mathematics,Programming,Data Structures,Electronics,Communication Skills,final_marks,grade,result
STU0071,Female,AI & DS,TE,20.3,66.9,8.4,Low,Yes,81.3,97.2,78.6,91.7,85.6,87.5,A+,Pass
STU0072,Male,Mechanical,BE,14.0,77.1,3.0,Middle,No,59.5,58.0,65.5,70.5,42.9,55.5,C,Pass
STU0073,Male,AI & DS,TE,6.0,79.2,1.2,Low,Yes,56.0,53.5,56.4,59.4,61.6,60.8,C,Pass
STU0074,Female,IT,FE,14.2,85.9,0.9,Low,Yes,64.8,78.7,65.5,62.1,59.2,70.5,B,Pass
STU0075,Female,Computer Engineering,SE,18.0,91.1,0.6,Middle,Yes,84.0,89.1,79.1,95.1,93.0,92.7,A+,Pass
STU0076,Female,Civil,FE,9.0,81.5,3.6,Middle,No,40.8,49.2,41.6,51.6,48.9,43.7,D,Pass
STU0077,Female,AI & DS,FE,11.3,75.4,0.7,High,Yes,47.4,57.3,46.5,48.5,45.0,47.9,D,Pass
STU0078,Male,Computer Engineering,BE,12.1,77.3,2.7,Middle,Yes,80.0,81.2,82.8,73.1,88.6,78.5,A,Pass
STU0079,Male,Civil,FE,8.1,65.6,0.9,Low,Yes,55.9,41.2,41.8,55.9,41.4,50.2,C,Pass
STU0080,Male,Mechanical,SE,15.2,77.3,3.3,Middle,Yes,73.6,64.9,61.3,74.4,77.5,70.4,B,Pass
STU0081,Female,Mechanical,TE,11.4,79.7,5.1,Low,Yes,72.5,81.5,76.3,67.4,77.7,73.6,B,Pass
STU0082,Female,Computer Engineering,TE,14.1,88.0,4.5,High,Yes,53.4,53.6,60.6,56.9,44.3,54.6,C,Pass
STU0083,Male,AI & DS,SE,7.6,68.7,4.3,Middle,Yes,58.9,56.3,46.4,61.8,72.1,55.8,C,Pass
STU0084,Male,E&TC,FE,9.8,69.2,0.6,Middle,Yes,56.9,53.9,55.8,56.4,48.9,49.3,D,Pass
STU0085,Male,Civil,SE,15.6,80.3,0.3,Low,No,63.9,67.3,63.3,62.7,57.8,63.1,C,Pass
STU0086,Male,IT,SE,10.1,78.0,3.6,Middle,Yes,55.0,59.5,64.4,55.7,49.4,57.8,C,Pass
STU0087,Female,IT,FE,20.6,75.3,1.4,High,No,49.0,53.7,54.6,62.4,53.7,55.0,C,Pass
STU0088,Female,Computer Engineering,SE,10.0,54.6,1.7,High,Yes,34.3,41.1,27.9,35.7,42.2,43.0,D,Pass
STU0089,Female,E&TC,FE,13.1,72.7,0.1,Low,Yes,84.9,86.0,80.0,83.5,81.5,80.9,A,Pass
STU0090,Male,AI & DS,FE,16.7,71.9,0.9,Low,Yes,85.4,85.2,88.3,73.7,80.1,81.9,A,Pass
STU0091,Male,Computer Engineering,SE,4.9,62.3,0.1,High,Yes,47.6,42.6,38.7,50.5,47.9,44.1,D,Pass
STU0092,Female,Computer Engineering,FE,3.2,63.0,6.3,High,No,31.5,38.8,30.0,30.8,30.0,32.3,F,Fail
STU0093,Female,IT,SE,4.4,62.1,0.8,Low,Yes,47.9,38.7,38.4,47.1,27.9,39.5,D,Pass
STU0094,Female,Computer Engineering,TE,18.3,95.4,2.4,Middle,Yes,92.7,90.5,78.2,98.5,94.7,95.6,A+,Pass
STU0095,Female,AI & DS,BE,9.2,74.6,0.1,Low,Yes,60.3,50.0,64.6,47.3,40.4,54.6,C,Pass
STU0096,Male,IT,FE,24.8,94.6,3.3,High,Yes,94.7,89.0,89.5,100.0,97.0,94.9,A+,Pass
STU0097,Male,Computer Engineering,FE,9.2,76.9,1.2,Low,Yes,66.6,68.7,73.3,79.6,64.4,70.3,B,Pass
STU0098,Male,IT,FE,12.9,67.7,6.8,Low,Yes,51.9,55.7,47.8,53.6,49.3,48.3,D,Pass
STU0099,Male,AI & DS,TE,19.7,93.9,6.6,Middle,Yes,99.8,92.5,100.0,92.7,100.0,97.3,A+,Pass
STU0100,Male,IT,TE,22.0,88.0,1.2,Low,Yes,70.1,69.1,70.4,66.2,62.3,68.0,B,Pass
STU0101,Male,IT,FE,22.3,94.4,6.9,Middle,Yes,100.0,96.1,98.6,100.0,100.0,100.0,A+,Pass
STU0102,Female,AI & DS,BE,18.0,74.9,15.0,Middle,Yes,58.9,57.5,53.7,54.9,56.5,59.1,C,Pass
STU0103,Male,Computer Engineering,FE,17.1,69.8,5.2,Low,Yes,79.6,56.2,70.1,75.5,75.8,65.3,B,Pass
STU0104,Male,AI & DS,SE,15.0,86.0,5.6,Middle,Yes,51.9,43.5,33.6,45.7,42.6,44.8,D,Pass
STU0105,Female,AI & DS,TE,15.9,83.7,0.9,Middle,Yes,71.4,65.9,71.0,50.9,62.1,67.1,B,Pass
STU0106,Male,Civil,BE,9.2,64.8,2.6,Low,Yes,40.8,43.3,33.5,42.1,44.2,40.1,D,Pass
STU0107,Male,Computer Engineering,TE,7.9,63.3,0.2,Middle,Yes,50.0,45.3,51.5,41.9,41.4,44.0,D,Pass
STU0108,Female,Mechanical,BE,12.0,84.6,0.3,High,Yes,66.5,56.2,64.4,63.0,58.4,63.4,C,Pass
STU0109,Male,Computer Engineering,SE,11.1,65.0,15.0,Middle,No,51.4,57.7,55.1,49.0,48.3,51.2,C,Pass
STU0110,Male,E&TC,BE,9.7,85.8,1.2,Low,Yes,60.6,63.7,62.9,67.2,62.1,62.4,C,Pass
STU0111,Male,E&TC,FE,15.5,72.9,4.1,Low,Yes,69.6,71.3,59.6,76.8,78.2,70.1,B,Pass
STU0112,Male,IT,BE,16.8,86.9,4.9,Low,No,32.9,51.8,46.7,53.6,40.3,51.9,C,Pass
STU0113,Female,IT,SE,12.4,73.5,5.9,Middle,Yes,49.6,45.2,52.3,46.3,48.4,48.3,D,Pass
STU0114,Female,Computer Engineering,BE,19.4,90.0,15.0,Middle,Yes,88.9,93.1,92.8,91.6,95.5,91.8,A+,Pass
STU0115,Female,Computer Engineering,SE,6.3,63.8,0.8,Middle,No,41.3,34.6,38.8,31.8,32.9,31.7,F,Fail
STU0116,Female,Civil,TE,11.0,73.0,0.1,Low,Yes,80.3,69.7,82.6,75.4,88.1,80.2,A,Pass
STU0117,Female,Mechanical,SE,8.4,71.3,1.6,Low,Yes,43.2,47.1,44.5,53.8,49.9,50.3,C,Pass
STU0118,Male,Civil,TE,2.7,55.5,0.4,Middle,Yes,37.9,36.7,33.4,41.0,37.1,38.2,D,Pass
STU0119,Female,AI & DS,FE,11.6,81.0,0.1,Middle,Yes,70.1,77.9,77.0,85.6,80.0,76.4,A,Pass
STU0120,Male,E&TC,FE,11.4,70.7,1.3,Low,Yes,77.6,82.0,60.9,82.3,75.4,74.8,B,Pass
STU0121,Female,Civil,FE,19.6,83.6,4.6,Middle,Yes,77.7,71.4,86.0,71.9,73.7,76.0,A,Pass
STU0122,Female,AI & DS,FE,15.2,71.7,2.5,Low,Yes,67.8,59.1,64.8,67.0,65.2,62.1,C,Pass
STU0123,Male,AI & DS,BE,6.9,48.4,1.1,High,Yes,39.3,40.9,51.4,38.3,40.1,44.0,D,Pass
STU0124,Male,E&TC,FE,21.3,86.1,3.2,High,No,79.9,74.9,70.2,83.9,76.0,79.7,A,Pass
STU0125,Male,IT,BE,18.1,100.0,0.8,Low,Yes,83.9,90.0,99.6,89.0,88.9,92.1,A+,Pass
STU0126,Male,Mechanical,SE,14.9,85.7,0.0,Low,No,68.9,69.3,78.1,58.6,72.8,64.7,C,Pass
STU0127,Female,AI & DS,FE,10.9,74.0,4.3,Middle,No,60.4,51.0,49.4,59.0,38.0,57.3,C,Pass
STU0128,Female,E&TC,TE,7.2,67.3,2.9,Low,Yes,71.3,70.9,72.9,52.3,70.7,68.3,B,Pass
STU0129,Male,Computer Engineering,TE,10.1,73.4,4.3,Middle,Yes,59.8,49.6,59.8,49.3,60.0,59.8,C,Pass
STU0130,Male,AI & DS,SE,17.4,87.1,0.1,High,Yes,83.5,77.6,71.7,79.9,70.9,81.0,A,Pass
STU0131,Male,AI & DS,SE,21.4,78.4,5.4,Middle,No,63.6,52.0,57.0,54.5,55.9,54.0,C,Pass
STU0132,Male,Mechanical,TE,19.7,94.5,2.9,High,Yes,48.5,60.2,55.2,48.0,53.1,50.2,C,Pass
STU0133,Male,E&TC,FE,9.6,78.1,2.5,Middle,Yes,62.1,59.7,57.7,51.8,64.8,61.3,C,Pass
STU0134,Male,IT,BE,6.4,74.1,2.9,Low,Yes,41.0,34.3,54.5,42.6,31.6,47.5,D,Pass
STU0135,Female,Computer Engineering,BE,12.7,80.0,6.0,Middle,Yes,49.5,42.7,44.7,57.0,62.9,54.7,C,Pass
STU0136,Male,Mechanical,TE,3.2,64.3,2.7,Middle,Yes,43.1,42.7,33.5,46.0,38.1,42.5,D,Pass
STU0137,Male,Computer Engineering,FE,13.6,83.1,2.6,Middle,Yes,72.2,69.3,66.4,65.5,69.7,65.6,B,Pass
STU0138,Female,Mechanical,TE,11.3,79.4,14.0,Low,Yes,63.3,67.1,65.0,71.7,69.2,64.8,C,Pass
STU0139,Male,Computer Engineering,FE,9.7,69.7,4.2,Low,Yes,53.0,55.4,50.1,56.8,49.1,54.4,C,Pass
STU0140,Female,Computer Engineering,FE,4.0,60.6,1.8,High,No,22.9,32.3,30.2,20.8,29.3,25.3,F,Fail
STU0141,Female,IT,FE,14.6,79.8,3.7,Low,Yes,75.3,75.3,81.7,76.8,76.2,78.5,A,Pass
STU0142,Male,Computer Engineering,SE,9.3,84.5,1.5,High,No,50.8,54.4,54.1,40.6,36.6,49.0,D,Pass
STU0143,Male,E&TC,BE,6.2,58.1,0.8,High,Yes,43.1,42.3,51.4,51.5,59.1,52.1,C,Pass
STU0144,Male,IT,TE,1.0,49.6,2.7,Middle,Yes,33.3,20.2,29.2,32.3,20.9,25.6,F,Fail
STU0145,Male,Computer Engineering,TE,11.9,76.7,7.9,Middle,Yes,45.0,38.2,46.3,53.1,43.9,49.0,D,Pass
STU0146,Male,Mechanical,SE,20.9,87.5,7.9,Middle,Yes,83.6,77.7,91.6,87.7,76.9,79.3,A,Pass
STU0147,Female,Computer Engineering,SE,20.3,87.8,1.3,High,No,68.1,75.4,70.8,73.9,77.3,75.7,A,Pass
STU0148,Male,IT,SE,9.7,74.6,2.3,Low,Yes,66.0,62.7,74.6,70.1,61.7,62.0,C,Pass
STU0149,Male,Civil,BE,9.0,69.9,0.7,Middle,No,48.6,45.0,44.8,43.4,47.9,44.6,D,Pass
STU0150,Male,IT,FE,14.3,90.6,15.0,Middle,Yes,40.0,32.1,29.4,46.5,29.7,37.7,D,Pass
STU0151,Female,AI & DS,BE,7.0,56.3,11.9,Middle,Yes,27.1,32.0,41.3,33.0,28.6,33.1,F,Fail
STU0152,Male,Civil,SE,13.5,70.9,3.1,Middle,Yes,73.6,63.1,72.9,76.3,71.4,72.1,B,Pass
STU0153,Male,IT,SE,15.8,79.8,4.9,Low,Yes,57.6,72.9,69.8,73.6,76.1,64.7,C,Pass
STU0154,Male,Computer Engineering,TE,18.1,70.4,3.8,Middle,Yes,67.2,66.9,76.0,67.5,68.0,68.7,B,Pass
STU0155,Female,AI & DS,SE,11.5,73.5,2.7,High,No,70.4,61.3,66.2,65.5,70.7,64.2,C,Pass
STU0156,Male,E&TC,BE,11.0,87.6,0.2,Low,Yes,60.1,64.8,51.7,63.0,55.5,55.3,C,Pass
STU0157,Female,IT,BE,7.6,70.1,1.8,High,Yes,32.6,25.0,38.4,31.7,29.6,32.5,F,Fail
STU0158,Female,IT,SE,7.9,72.1,3.4,Middle,Yes,43.1,42.1,48.9,41.0,47.4,48.9,D,Pass
STU0159,Male,Mechanical,FE,10.9,64.0,3.4,High,Yes,53.2,42.7,53.4,62.2,48.3,49.3,D,Pass
STU0160,Female,E&TC,SE,13.8,73.1,1.4,Middle,Yes,53.7,53.2,40.7,50.8,57.2,53.6,C,Pass
STU0161,Male,AI & DS,BE,16.6,78.5,8.5,Middle,Yes,50.6,67.1,67.2,65.5,72.7,64.5,C,Pass
STU0162,Female,Computer Engineering,FE,8.0,67.8,0.5,Low,Yes,62.9,62.6,54.4,65.1,60.4,58.2,C,Pass
STU0163,Female,Computer Engineering,TE,19.5,95.6,2.1,High,Yes,81.9,97.4,91.9,78.3,89.1,82.0,A,Pass
STU0164,Male,E&TC,TE,10.6,78.3,3.5,Low,Yes,69.0,48.3,65.5,55.8,56.0,61.8,C,Pass
STU0165,Male,AI & DS,TE,11.9,66.6,3.6,High,Yes,72.9,83.2,80.9,81.0,77.0,79.5,A,Pass
STU0166,Female,IT,FE,8.3,72.7,3.1,High,Yes,28.8,44.6,50.8,37.1,43.6,47.9,D,Pass
STU0167,Male,E&TC,TE,1.0,65.3,1.0,Low,Yes,41.7,36.5,34.0,38.3,41.9,40.0,D,Pass
STU0168,Male,Mechanical,BE,16.4,90.5,0.5,Low,Yes,71.3,65.9,79.3,71.1,67.4,69.6,B,Pass
STU0169,Male,Computer Engineering,FE,15.7,93.0,3.0,Middle,Yes,52.5,57.1,74.5,61.0,67.0,62.6,C,Pass
STU0170,Female,Mechanical,FE,10.6,65.7,2.7,Low,Yes,42.5,58.5,50.8,39.1,42.8,48.4,D,Pass
STU0171,Female,AI & DS,BE,12.3,69.5,0.6,High,Yes,72.6,61.2,65.6,65.7,56.4,56.1,C,Pass
STU0172,Male,Mechanical,FE,14.6,68.9,3.7,Low,Yes,66.4,68.3,64.8,68.8,72.3,68.2,B,Pass
STU0173,Male,AI & DS,BE,4.2,63.6,1.8,Low,Yes,74.8,78.5,65.6,79.0,58.0,70.4,B,Pass
STU0174,Male,Computer Engineering,SE,9.4,75.9,3.3,High,Yes,42.5,37.3,46.6,44.8,59.1,46.4,D,Pass
STU0175,Female,E&TC,FE,16.0,88.7,5.4,Middle,Yes,52.8,57.3,67.9,60.0,63.6,65.3,B,Pass
STU0176,Male,AI & DS,BE,5.7,66.8,0.6,High,Yes,45.5,33.4,44.1,48.1,34.3,46.5,D,Pass
STU0177,Female,Computer Engineering,SE,13.5,74.9,0.1,Low,Yes,69.1,66.5,73.9,69.4,71.6,70.7,B,Pass
STU0178,Male,E&TC,SE,5.2,68.0,4.5,Middle,No,37.1,40.5,41.3,32.4,39.7,39.5,D,Pass
STU0179,Female,E&TC,SE,14.3,72.0,2.8,Middle,Yes,79.5,80.8,74.2,89.0,79.7,80.2,A,Pass
STU0180,Male,IT,SE,11.8,92.1,3.6,Middle,Yes,36.4,35.7,37.9,31.1,40.7,34.8,F,Fail
STU0181,Male,E&TC,FE,3.9,52.2,5.5,Middle,Yes,6.4,0.0,12.5,0.0,11.8,7.3,F,Fail
STU0182,Male,IT,SE,17.8,84.6,4.9,Middle,No,53.1,65.5,61.7,68.7,62.5,60.7,C,Pass
STU0183,Female,Computer Engineering,BE,8.3,87.0,9.7,Middle,Yes,66.5,65.0,70.5,60.6,66.3,63.6,C,Pass
STU0184,Female,Computer Engineering,FE,7.9,70.4,2.3,Low,No,14.0,30.1,18.4,22.1,25.1,25.7,F,Fail
STU0185,Male,AI & DS,TE,13.0,75.4,2.0,Middle,Yes,15.2,16.1,30.3,16.9,38.2,27.5,F,Fail
STU0186,Female,Civil,SE,17.7,80.2,1.5,Low,Yes,86.3,83.8,74.9,92.3,73.0,81.9,A,Pass
STU0187,Female,IT,TE,6.9,67.6,0.5,Middle,Yes,55.9,45.8,46.2,45.2,53.7,52.9,C,Pass
STU0188,Female,Computer Engineering,FE,12.3,87.0,2.6,Low,Yes,51.2,49.1,47.7,51.9,51.9,51.5,C,Pass
STU0189,Male,IT,BE,14.1,60.7,1.0,Middle,No,35.9,47.5,38.6,49.8,49.2,44.3,D,Pass
STU0190,Male,Civil,SE,15.5,92.4,7.6,Middle,Yes,52.6,57.3,53.5,59.3,51.7,56.8,C,Pass
STU0191,Male,AI & DS,FE,12.9,65.4,2.6,Low,Yes,60.0,56.5,60.3,61.2,51.1,61.6,C,Pass
STU0192,Female,IT,FE,10.2,71.1,2.7,Low,Yes,38.8,48.4,53.4,38.2,49.3,48.4,D,Pass
STU0193,Female,IT,FE,7.9,66.8,1.3,Low,Yes,52.7,47.9,55.2,52.2,58.8,57.1,C,Pass
STU0194,Female,IT,SE,12.4,80.9,0.2,Middle,Yes,34.8,37.8,21.4,32.0,39.8,30.9,F,Fail
STU0195,Male,AI & DS,SE,6.6,55.8,0.1,High,Yes,45.1,35.3,43.3,31.8,28.9,36.5,D,Pass
STU0196,Male,Mechanical,BE,1.0,65.0,1.7,Low,No,13.0,22.2,10.5,16.7,22.4,15.5,F,Fail
STU0197,Female,Civil,SE,14.2,94.6,0.3,Middle,Yes,73.7,66.0,68.8,73.3,83.4,69.2,B,Pass
STU0198,Female,IT,FE,16.5,70.6,2.8,Low,Yes,51.1,59.5,65.3,68.4,60.3,62.6,C,Pass
STU0199,Female,E&TC,TE,1.0,62.8,6.4,Middle,Yes,45.3,36.7,42.5,33.9,33.6,41.3,D,Pass
STU0200,Female,Civil,TE,7.0,63.7,6.4,High,Yes,17.3,27.4,28.7,35.3,19.7,22.1,F,Fail
STU0201,Female,E&TC,FE,15.1,83.0,3.2,Low,Yes,71.2,65.1,72.3,74.0,69.5,69.4,B,Pass
STU0202,Male,AI & DS,FE,22.3,89.1,0.7,Middle,No,85.7,91.1,82.0,87.2,90.6,87.2,A+,Pass
STU0203,Male,IT,FE,12.1,70.6,6.0,Low,Yes,87.5,77.3,92.7,86.1,76.1,79.6,A,Pass
STU0204,Female,IT,TE,8.4,74.8,6.5,Low,Yes,39.1,32.4,45.5,58.5,53.6,44.3,D,Pass
STU0205,Female,Computer Engineering,TE,11.1,88.8,0.7,Low,Yes,71.7,64.5,67.0,59.3,61.2,67.9,B,Pass
STU0206,Male,E&TC,SE,18.9,83.0,4.0,Low,No,45.8,40.4,53.3,46.1,37.1,47.5,D,Pass
STU0207,Male,Civil,BE,8.8,77.2,1.0,Middle,Yes,26.3,27.4,28.7,12.9,33.8,27.2,F,Fail
STU0208,Female,Civil,BE,8.0,60.1,4.9,Middle,Yes,56.0,50.0,59.5,58.3,43.5,57.1,C,Pass
STU0209,Male,IT,SE,9.6,64.8,15.0,Middle,Yes,38.2,48.9,58.3,45.5,42.1,43.3,D,Pass
STU0210,Male,AI & DS,BE,7.2,73.2,0.1,Low,Yes,66.5,66.1,64.9,66.4,85.3,66.6,B,Pass
STU0211,Male,Civil,FE,12.6,88.3,6.8,Low,Yes,45.2,44.5,43.7,41.7,45.5,45.6,D,Pass
